,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
206,207,Falkland Islands,63,,,,62,,1,,"17,677",,"7,202","2,020,763","3,564",South America,57,,0,,,281
207,208,Macao,49,,,,49,,0,,75,,"4,483","6,826","656,724",Asia,"13,403",,146,,,
208,209,Saint Kitts and Nevis,45,,,,44,,1,,841,,"13,691","255,840","53,514",North America,"1,189",,4,,,19
209,210,Greenland,31,,,,31,,0,,545,,"20,669","363,552","56,853",North America,"1,834",,3,,,
210,211,Vatican City,27,,,,15,,12,,"33,624",,,,803,Europe,30,,,,,"14,944"
211,212,Saint Pierre Miquelon,25,,,,25,,0,,"4,333",,"5,318","921,664","5,770",North America,231,,1,,,
212,213,Montserrat,20,,1,,19,,0,,"4,004",200,"1,313","262,863","4,995",North America,250,"4,995",4,,,
213,214,Solomon Islands,20,,,,20,,0,,29,,"4,500","6,420","700,888",Australia/Oceania,"35,044",,156,,,
214,215,Western Sahara,10,,1,,8,,1,,16,2,,,"609,548",Africa,"60,955","609,548",,,,2
215,216,MS Zaandam,9,,2,,7,,0,,,,,,,,,,,,,
216,217,Vanuatu,4,,1,,3,,0,,13,3,"23,000","73,455","313,115",Australia/Oceania,"78,279","313,115",14,,,
217,218,Marshall Islands,4,,,,4,,0,,67,,,,"59,524",Australia/Oceania,"14,881",,,,,
218,219,Samoa,3,,,,2,,1,,15,,,,"199,517",Australia/Oceania,"66,506",,,,,5
219,220,Saint Helena,2,,,,2,,0,,328,,,,"6,092",Africa,"3,046",,,,,
220,221,Micronesia,1,,,,1,,0,,9,,,,"116,031",Australia/Oceania,"116,031",,,,,
221,222,China,"90,714",+17,"4,636",,"85,753",+15,325,5,63,3,"160,000,000","111,163","1,439,323,776",Asia,"15,867","310,467",9,0.01,,0.2
