,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
163,164,San Marino,"5,067",,90,,"4,935",,42,4,"149,069","2,648","61,760","1,816,952","33,991",Europe,7,378,1,,,"1,236"
164,165,Chad,"4,828",,170,,"4,528",,130,,287,10,"114,119","6,786","16,817,082",Africa,"3,483","98,924",147,,,8
165,166,Saint Lucia,"4,560",,74,,"4,368",,118,2,"24,738",401,"40,466","219,530","184,330",North America,40,"2,491",5,,,640
166,167,Gibraltar,"4,283",,94,,"4,186",,3,1,"127,156","2,791","234,943","6,975,121","33,683",Europe,8,358,0,,,89
167,168,Sierra Leone,"4,062",,79,,"3,078",,905,,501,10,"153,257","18,892","8,112,064",Africa,"1,997","102,684",53,,,112
168,169,Channel Islands,"4,055",,86,,"3,956",,13,,"23,145",491,"454,413","2,593,637","175,203",Europe,43,"2,037",0,,,74
169,170,Burundi,"4,046",,6,,773,,"3,267",,332,0.5,"90,019","7,388","12,184,602",Africa,"3,012","2,030,767",135,,,268
170,171,Barbados,"3,881",,44,,"3,804",,33,,"13,491",153,"154,952","538,645","287,670",North America,74,"6,538",2,,,115
171,172,Comoros,"3,845",,146,,"3,675",,24,,"4,345",165,,,"885,020",Africa,230,"6,062",,,,27
172,173,Guinea-Bissau,"3,736",,67,,"3,327",,342,9,"1,862",33,"63,774","31,781","2,006,684",Africa,537,"29,951",31,,,170
173,174,Eritrea,"3,673",,12,,"3,496",,165,,"1,024",3,"23,693","6,605","3,587,392",Africa,977,"298,949",151,,,46
174,175,Vietnam,"2,981",,35,,"2,560",,386,,30,0.4,"2,598,753","26,499","98,070,900",Asia,"32,899","2,802,026",38,,,4
175,176,Liechtenstein,"2,946",,57,,"2,818",,71,7,"77,080","1,491","39,109","1,023,260","38,220",Europe,13,671,1,,,"1,858"
176,177,New Zealand,"2,623",+1,26,,"2,573",+2,24,,524,5,"2,031,925","406,214","5,002,100",Australia/Oceania,"1,907","192,388",2,0.2,,5
177,178,Timor-Leste,"2,524",,4,,"1,265",,"1,255",,"1,884",3,"68,962","51,489","1,339,366",Asia,531,"334,842",19,,,937
178,179,Monaco,"2,465",,32,,"2,380",,53,1,"62,445",811,"51,953","1,316,099","39,475",Europe,16,"1,234",1,,,"1,343"
179,180,Bermuda,"2,393",,28,,"1,820",,545,28,"38,544",451,"239,584","3,858,968","62,085",North America,26,"2,217",0,,,"8,778"
180,181,Turks and Caicos,"2,393",,17,,"2,343",,33,2,"61,118",434,"57,655","1,472,519","39,154",North America,16,"2,303",1,,,843
181,182,Sao Tome and Principe,"2,310",,35,,"2,244",,31,,"10,380",157,"12,999","58,409","222,550",Africa,96,"6,359",17,,,139
182,183,Sint Maarten,"2,240",,27,,"2,189",,24,1,"51,752",624,"26,359","608,992","43,283",North America,19,"1,603",2,,,554
183,184,Liberia,"2,110",,85,,"1,952",,73,2,409,16,"96,871","18,786","5,156,548",Africa,"2,444","60,665",53,,,14
184,185,St. Vincent Grenadines,"1,882",,11,,"1,731",,140,2,"16,919",99,"45,375","407,920","111,235",North America,59,"10,112",2,,,"1,259"
185,186,Saint Martin,"1,745",,12,,"1,399",,334,7,"44,497",306,"27,588","703,488","39,216",North America,22,"3,268",1,,,"8,517"
186,187,Isle of Man,"1,590",,29,,"1,548",,13,1,"18,616",340,"44,761","524,072","85,410",Europe,54,"2,945",2,,,152
187,188,Caribbean Netherlands,"1,560",,16,,"1,532",,12,,"59,031",605,"10,040","379,914","26,427",North America,17,"1,652",3,,,454
188,189,Antigua and Barbuda,"1,232",,32,,"1,014",,186,1,"12,494",325,"16,700","169,359","98,607",North America,80,"3,081",6,,,"1,886"
189,190,Mauritius,"1,211",,17,,"1,108",,86,,951,13,"358,675","281,637","1,273,537",Africa,"1,052","74,914",4,,,68
190,191,Taiwan,"1,145",,12,,"1,058",,75,,48,0.5,"539,626","22,623","23,852,904",Asia,"20,832","1,987,742",44,,,3
191,192,Bhutan,"1,119",,1,,999,,119,,"1,437",1,"714,568","917,634","778,707",Asia,696,"778,707",1,,,153
192,193,St. Barth,974,,1,,462,,511,,"98,364",101,"26,385","2,664,613","9,902",North America,10,"9,902",0,,,"51,606"
193,194,Laos,966,,,,60,,906,,131,,"179,135","24,327","7,363,666",Asia,"7,623",,41,,,123
194,195,Diamond Princess,712,,13,,699,,0,,,,,,,,,,,,,
195,196,Faeroe Islands,664,,1,,662,,1,,"13,546",20,"253,709","5,175,833","49,018",Europe,74,"49,018",0,,,20
196,197,Cayman Islands,543,,2,,526,,15,,"8,182",30,"90,031","1,356,563","66,367",North America,122,"33,184",1,,,226
197,198,Tanzania,509,,21,,183,,305,7,8,0.3,,,"61,146,553",Africa,"120,131","2,911,741",,,,5
198,199,Wallis and Futuna,444,,7,,44,,393,1,"40,098",632,"15,256","1,377,766","11,073",Australia/Oceania,25,"1,582",1,,,"35,492"
199,200,Brunei,227,,3,,218,,6,,515,7,"121,153","274,735","440,981",Asia,"1,943","146,994",4,,,14
200,201,British Virgin Islands,216,,1,,191,,24,,"7,105",33,"39,777","1,308,497","30,399",North America,141,"30,399",1,,,789
201,202,Dominica,174,,,,172,,2,,"2,412",,"14,936","207,053","72,136",North America,415,,5,,,28
202,203,Grenada,160,,1,,158,,1,,"1,416",9,"26,331","233,100","112,960",North America,706,"112,960",4,,,9
203,204,New Caledonia,124,,,,58,,66,,431,,"30,081","104,523","287,792",Australia/Oceania,"2,321",,10,,,229
204,205,Fiji,121,,2,,68,,51,,134,2,"54,988","60,970","901,880",Australia/Oceania,"7,454","450,940",16,,,57
205,206,Anguilla,95,,,,29,,66,,"6,285",,"20,821","1,377,506","15,115",North America,159,,1,,,"4,367"
